date,residential,public_litter_bins,dumped_rubbish,street_sweepings,mattresses,commingled_recycling,cardboard,hardwaste_to_landfill,hardwaste_recovered,hardwaste_total,green_waste,month
02/01/2015 12:00:00 AM,1867.96,365.13,179.25,307.66,312,558.96,151.02,89.5,0,89.5,2.7,February
05/01/2016 12:00:00 AM,2418.2,326.52,200.66,433.06,209,702.07,199.68,19.74,40.92,60.66,3.08,May
01/01/2015 12:00:00 AM,1958.38,328.79,147.72,345.68,501,642.18,132.66,85.52,0,85.52,3.52,January
02/01/2016 12:00:00 AM,2202.28,281.46,151.18,293,173,708.31,196.96,41.72,19.12,60.84,5.56,February
02/01/2011 12:00:00 AM,1644.12,300.24,138.7,530.52,117,512.66,176.48,23.8,0,23.8,6.54,February
05/01/2009 12:00:00 AM,1249.74,330.36,169.98,691.28,0,376.02,168.52,14.82,0,14.82,2.79,May
08/01/2014 12:00:00 AM,1836.81,432.82,129.22,343.28,165,540.51,142.13,73.42,0,73.42,3.02,August
10/01/2012 12:00:00 AM,1732.58,377.41,143.08,402.98,216,497.62,168.29,37.64,0,37.64,8.62,October
10/01/2009 12:00:00 AM,1449.2,418.66,141.24,631.98,148,523.8,194.63,16.64,0,16.64,2.29,October
05/01/2018 12:00:00 AM,2505.84,251.4,219.54,489.14,521,932.96,70.36,57.6,15.92,73.52,23.08,May
11/01/2009 12:00:00 AM,1578.91,426.05,136.58,582.75,43,579.58,202.81,38.64,0,38.64,5.86,November
11/01/2017 12:00:00 AM,2620.04,279.46,147.74,346.88,510,812.76,175.2,99.72,21.78,121.5,13.7,November
09/01/2010 12:00:00 AM,1587.01,359.12,134.7,405.84,228,534.12,193.08,25.84,0,25.84,4.34,September
06/01/2014 12:00:00 AM,2093.58,371.56,137.66,469.77,204,526.92,148.23,74.64,0,74.64,4,June
11/01/2018 12:00:00 AM,2546.07,208.26,169.16,279.14,403,959.16,70.14,42.38,16.48,58.86,9.48,November
09/01/2016 12:00:00 AM,2071.2,318.78,132.68,271.5,251,625.22,210.16,41.74,19.34,61.08,4.38,September
12/01/2010 12:00:00 AM,2005.04,392.5,156.16,481.36,213,599.6,223.8,24.28,0,24.28,3.46,December
05/01/2012 12:00:00 AM,1645.68,336.93,186.6,719.32,206,478.8,218.94,33.34,0,33.34,4.2,May
08/01/2010 12:00:00 AM,1591.7,346.18,135.59,478.24,129,547.12,187.44,22.8,0,22.8,2.54,August
03/01/2014 12:00:00 AM,1837.66,385.75,117.88,359.7,202,525.8,168.98,87.86,0,87.86,4.2,March
12/01/2018 12:00:00 AM,2542.94,258.02,140.94,331.87,324,967.6,73.78,47.18,16.48,63.66,7.6,December
10/01/2015 12:00:00 AM,1940.72,334.32,168.94,358.26,123,673,196.32,38.3,17.02,55.32,4.88,October
01/01/2010 12:00:00 AM,1385.06,403.94,235.22,443.66,139,502.52,165.78,25.58,0,25.58,1.57,January
06/01/2016 12:00:00 AM,2090.13,293.68,198.94,417.2,362,668.04,201.04,25.8,37.5,63.3,3.32,June
03/01/2018 12:00:00 AM,2491.24,249.2,155.22,339.48,546,944.86,88.46,70.26,20.12,90.38,9.3,March
12/01/2009 12:00:00 AM,1637.58,465,181.24,542.3,21,609.61,212.64,12.48,0,12.48,2.75,December
01/01/2019 12:00:00 AM,2549.5,225.68,138.75,296.02,625,969.07,64.44,50.5,17.45,67.95,9.34,January
08/01/2011 12:00:00 AM,1669.48,331,142.12,441.04,211,557.2,233.98,26.68,0,26.68,3.7,August
11/01/2015 12:00:00 AM,2139.99,331.5,179.66,381.94,384,698.2,199.5,128.56,25.56,154.12,9.88,November
11/01/2014 12:00:00 AM,1877.48,348.9,146.54,329.54,220,555.24,168.98,120.28,0,120.28,7.2,November
04/01/2010 12:00:00 AM,1488.46,396.6,127.84,509.96,170,529,164.88,15.88,0,15.88,3.85,April
06/01/2012 12:00:00 AM,1523.5,315.99,156.88,505.38,224,468.34,142.82,27.54,0,27.54,2.78,June
06/01/2011 12:00:00 AM,1541.58,306.72,175.36,584.16,217,531.58,184.74,26.68,0,26.68,3.48,June
10/01/2011 12:00:00 AM,1601.54,356.42,149.3,508.96,179,495.54,196.42,27.48,0,27.48,3.74,October
02/01/2018 12:00:00 AM,2375.2,188.66,141.42,312.26,623,802.08,122.46,84.16,16.9,101.06,9.64,February
12/01/2016 12:00:00 AM,2195,381.68,153.33,327.8,274,753.95,235.5,50.84,17.2,68.04,5.56,December
07/01/2015 12:00:00 AM,1927.88,382.5,147.37,297.56,282,619.4,209.64,73.36,12.84,86.2,3.48,July
12/01/2012 12:00:00 AM,1842.44,403.77,197.42,388.76,214,573.32,198.34,32.12,0,32.12,3.32,December
02/01/2019 12:00:00 AM,2730.18,238.96,125.68,277.82,471,445.16,59.98,40.2,15.82,56.02,7.92,February
07/01/2011 12:00:00 AM,1516.18,316.62,130.78,453.06,219,500.62,197.14,29.66,0,29.66,2.8,July
02/01/2017 12:00:00 AM,2067.04,356.5,152.68,264.5,388,683.34,175.88,49.78,27.16,76.94,9.38,February
01/01/2012 12:00:00 AM,1618.54,333.92,183.56,485.82,236,542.28,196.56,36.06,0,36.06,4.3,January
06/01/2017 12:00:00 AM,2172.61,272.67,175.16,382.44,274,721.26,206.6,54.01,12.54,66.55,8.78,June
